config_name,test_name,execution_time,mse,mae,rmse,correlation,evaluable_points,success,use_spectral,use_skeleton,use_cholesky,use_robust_loss
Spectral ON,Spectral Features,0.29041504859924316,2.732979520042567,1.276605800033863,1.6531725620885942,0.20105986182141986,167,True,True,,,
Spectral OFF,Spectral Features,0.2543649673461914,2.142023736954437,1.166778735111034,1.4635654194310677,0.3540393798656566,167,True,False,,,
Skeleton ON,Skeleton Features,0.5580148696899414,0.30614683792920727,0.4335397070219034,0.5533053749325116,0.6361966084579033,589,True,,True,,
Skeleton OFF,Skeleton Features,0.6724698543548584,0.30614683792920727,0.4335397070219034,0.5533053749325116,0.6361966084579033,589,True,,False,,
Cholesky ON,Cholesky Solver,0.951801061630249,0.04943348612583706,0.16056397485965185,0.22233642554884492,0.9972897072523694,482,True,,,True,
Cholesky OFF,Cholesky Solver,0.9064130783081055,0.049433486915623,0.16056397574970338,0.22233642732495051,0.9972897072091528,482,True,,,False,
Robust ON,Robust Loss,1.5769169330596924,8.496471685017543,1.562969643387762,2.9148707835884498,0.10108309475204616,207,True,,,,True
Robust OFF,Robust Loss,0.3172280788421631,8.520502352940989,1.5713739816788903,2.918989954237765,0.09621166027432423,207,True,,,,False
