config_name,test_name,execution_time,mse,mae,rmse,correlation,evaluable_points,success,use_spectral,use_skeleton,use_cholesky,use_robust_loss
Spectral ON,Spectral Features,0.2727828025817871,0.5904130093888883,0.6193193940570474,0.7683833739669855,0.98839103202754,167,True,True,,,
Spectral OFF,Spectral Features,0.17810893058776855,0.12980621213078994,0.2828722904903063,0.3602862918996363,0.9969152774528248,167,True,False,,,
Skeleton ON,Skeleton Features,0.375643253326416,0.30024114470471924,0.4371476750782994,0.5479426472768105,0.3620247058536024,416,True,,True,,
Skeleton OFF,Skeleton Features,0.3689291477203369,0.30024114470471924,0.4371476750782994,0.5479426472768105,0.3620247058536024,416,True,,False,,
Cholesky ON,Cholesky Solver,0.5563881397247314,,,,0.0,0,True,,,True,
Cholesky OFF,Cholesky Solver,0.5533182621002197,,,,0.0,0,True,,,False,
Robust ON,Robust Loss,1.360440969467163,69.95989736744453,4.748031337959013,8.364203331306845,-0.09147885255395548,207,True,,,,True
Robust OFF,Robust Loss,0.33880114555358887,72.89934266549471,5.086507706174686,8.538111188400787,-0.09075282800328414,207,True,,,,False
